Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution aux particules;Niveau de pollution;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;Mesures d’amélioration mises en place ou prévues;stop_lon;stop_lat;point_geo;pollution_air;air;niveau;actions;niveau_pollution
IDFM:463116;Abbesses;Métro 12;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.338394635220906;48.884392717991425;48.884392717991425, 2.338394635220906;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:483900;Aimé Césaire;Métro 12;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.37813084516706;48.90843758066954;48.90843758066954, 2.37813084516706;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:46395;Athis-Mons;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.403668724287269;48.71266832171659;48.71266832171659, 2.403668724287269;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:22130;Barbès - Rochechouart;Métro 4;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.349629927853002;48.883402060486226;48.883402060486226, 2.349629927853002;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:463019;Bastille;Métro 1;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.368692796099789;48.85196422011205;48.85196422011205, 2.368692796099789;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:463110;Belleville;Métro 11;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Actions d'amélioration de la qualité de l'air en cours;;;;2.376684607718542;48.87198955568015;48.87198955568015, 2.376684607718542;pollution moyenne - incertitude forte;;Pollution moyenne;Actions d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:22128;Belleville;Métro 2;pollution élevée;ELEVE;Évaluation : campagne de mesure ponctuelle;oui;Action(s) d'amélioration de la qualité de l'air en cours;;campagne de mesure ponctuelle;;2.3768306915222848;48.872314077361665;48.872314077361665, 2.3768306915222848;pollution élevée - incertitude faible;;Pollution élevée;Action(s) d'amélioration de la qualité de l'air en cours;pollution élevée
IDFM:463130;Bérault;Métro 1;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.4292278831660283;48.845491696267075;48.845491696267075, 2.4292278831660283;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:43091;Bièvres;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.2161603396773564;48.75087243760775;48.75087243760775, 2.2161603396773564;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:463115;Bonne Nouvelle;Métro 8;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.348496122542364;48.87048144580479;48.87048144580479, 2.348496122542364;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
